Line_no,Process_Name,Process_Time_0osec,Stack
611,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=41, CLAW=40, Data_valid=40, DIO=4, FDIR=5, POST=41, Telem=40, Test_Exec=31889, Read_thread = 5
612,AHRS,38880,1064
613,ADU,9493,2480
614,GPS,7520,2544
615,EMS,7467,3816
616,DIO,84853,848
617,acutator,0,864
618,CLAW,0,3280
619,annunciator,113440,2304
620,FDIR,6186,552
621,test_execuPost_process,0,744
622,telemetry,0,3536
623,data_validation,0,2480
624,
625,state_machine,0,2480
626,ADAHRS,18880,3152
627,Post_process,11413,680
628,read_interface,228800,784
629,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=39, CLAW=40, Data_valid=40, DIO=5, FDIR=5, POST=39, Telem=40, Test_Exec=31889, Read_thread = 5
630,AHRS,0,1064
631,ADU,9387,2480
632,GPS,6986,2544
633,EMS,43946,3816
634,DIO,81707,848
635,acutator,0,864
636,CLAW,0,3280
637,annunciator,0,2304
638,FDIR,5760,552
639,test_execuPost_process,0,744
640,telemetry,0,3536
641,data_validation,0,2480
642,
643,state_machine,0,2480
644,ADAHRS,62667,3152
645,Post_process,0,680
646,read_interface,217333,784
647,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=39, CLAW=40, Data_valid=40, DIO=5, FDIR=5, POST=39, Telem=40, Test_Exec=31889, Read_thread = 5
648,AHRS,9014,1064
649,ADU,9226,2480
650,GPS,6934,2544
651,EMS,52000,3816
652,DIO,88907,848
653,acutator,0,864
654,CLAW,0,3280
655,annunciator,0,2304
656,FDIR,5387,552
657,test_execuPost_process,0,744
658,telemetry,0,3536
659,data_validation,485014,2480
660,
661,state_machine,485014,2480
662,ADAHRS,925173,3152
663,Post_process,0,680
664,read_interface,255947,784
665,,, ADU=6,AHRS=11,GPS=6, EMS=6, ADAHRS=5, Actu=40, Annun_Pann=39, CLAW=40, Data_valid=41, DIO=6, FDIR=5, POST=39, Telem=40, Test_Exec=31889, Read_thread = 5
666,AHRS,0,1064
667,ADU,8747,2480
668,GPS,7146,2544
669,EMS,53387,3816
670,DIO,82080,848
671,acutator,0,864
672,CLAW,64426,3280
673,annunciator,0,2304
674,FDIR,5707,552
675,test_execuPost_process,0,744
676,telemetry,0,3536
677,data_validation,0,2480
678,
679,state_machine,0,2480
680,ADAHRS,18880,3152
681,Post_process,0,680
682,read_interface,203733,784
683,,, ADU=4,AHRS=11,GPS=4, EMS=4, ADAHRS=5, Actu=40, Annun_Pann=39, CLAW=40, Data_valid=41, DIO=4, FDIR=5, POST=39, Telem=40, Test_Exec=31889, Read_thread = 5
